step,time_s,coverage_cost_m2,weighted_fraction_within_0_25m,weighted_fraction_within_0_35m,weighted_fraction_within_0_50m,weighted_rms_distance_m,minimum_simulator_collision_center_pair_distance_m,minimum_reference_point_boundary_clearance_m,minimum_conservative_body_boundary_clearance_m,centroid_residual_mean_m,centroid_residual_max_m,cell_mass_min,cell_mass_max,voronoi_edges,voronoi_degree_mean,barrier_intervention_mean,barrier_intervention_max,global_actuator_scale,control_compute_ms
0.0,0.0,0.13304337723328635,0.31723219617197945,0.5654475430190665,0.8433540143389435,0.3647511168362427,0.7156343665885293,0.37517681349912,0.32017681349912,0.22160102958562106,0.31409555122304805,0.04437091815168544,0.16409317590908884,12.0,3.0,9.91010820154394e-05,0.0003072951317898715,1.0,2.6086359976034146
10.0,0.33,0.12334633169437301,0.34805806448017096,0.5972207215288089,0.865283097028569,0.3512069641883159,0.6874170149393098,0.3940657552955451,0.3390657552955451,0.19857499961314698,0.29893800328759473,0.04601219806920746,0.18176407205430645,13.0,3.25,0.00018339647683814723,0.0005733253711875173,1.0,2.845705999789061
20.0,0.66,0.11255234027584081,0.3671765906154577,0.6453793037926207,0.8907350392317845,0.3354882118284349,0.6619687381626509,0.42026988256803344,0.36526988256803344,0.16795825817305535,0.272512987072011,0.04601219806920746,0.18176407205430645,12.0,3.0,0.002913233679777008,0.003823923034294508,1.0,2.1482070005731657
30.0,0.99,0.10325928042848002,0.3815545804905143,0.6830856906731253,0.9273226261144811,0.32133982079487133,0.6425231934621322,0.4508192452908659,0.39581924529086593,0.13669785290038455,0.24145920223805442,0.04717786313595255,0.18176407205430645,12.0,3.0,0.0010183112601569724,0.002136357730654835,1.0,2.2218969970708713
40.0,1.32,0.09613334944278555,0.39390664071413795,0.7121053242186617,0.9492814216201018,0.3100537847580409,0.6267350689850809,0.48083361603968433,0.42583361603968434,0.11079889459538297,0.20494130098761365,0.053192798221127546,0.17886338054459752,12.0,3.0,0.000280543826120746,0.0008773646342567859,1.0,2.2796569974161685
50.0,1.6500000000000001,0.09105499907172636,0.414675659246348,0.7256523453905706,0.9683917900392986,0.301753208883893,0.609907664146212,0.5045293329515999,0.44952933295159986,0.08913349683456423,0.17782549156273728,0.0575228940145768,0.1778827008055005,13.0,3.25,0.0004929891581873903,0.0017761979804692604,1.0,2.2159069994813763
60.0,1.98,0.08774238215886124,0.42208237507499685,0.7362887810730242,0.9814663736023168,0.29621340644687444,0.5924171034005477,0.5202401227944464,0.46524012279444643,0.06845547071362179,0.14183626839733535,0.0575228940145768,0.1778827008055005,13.0,3.25,8.668098072306418e-05,0.0004427818772678928,1.0,2.168297000025632
70.0,2.31,0.08565989933056634,0.42670583473102675,0.7393907680388632,0.9880908526677037,0.29267712471350804,0.5776299709150284,0.5324430859541889,0.4774430859541889,0.05196492356852002,0.11509945698445775,0.0575228940145768,0.1778827008055005,13.0,3.25,7.504381979601214e-06,1.4046655990399058e-05,1.0,2.1823870010848623
80.0,2.64,0.08442341638089365,0.42985429462895874,0.7460641058419185,0.990360237214041,0.2905570793852624,0.5658971913241543,0.5408533599784382,0.4858533599784382,0.03928486691574809,0.08816286545323701,0.0575228940145768,0.1778827008055005,13.0,3.25,0.00022332146279507815,0.0004333365968189161,1.0,2.3028770010569133
90.0,2.97,0.08367759501201176,0.43555906501720676,0.7534628947191241,0.991339270736397,0.2892707987544055,0.5535961677824883,0.5439707845709194,0.4889707845709194,0.031212909957467685,0.07201847279332427,0.05894635455324576,0.1778827008055005,13.0,3.25,0.0001321579346383628,0.00027568830292709867,1.0,2.1002469984523486
100.0,3.3000000000000003,0.08322044666440517,0.43566924778677063,0.7540004790981756,0.9908733978672688,0.28847954288719535,0.541939115886293,0.5458065863265867,0.49080658632658675,0.024702165122125003,0.05560087541884096,0.059794992323564805,0.1778827008055005,13.0,3.25,8.232983738707387e-05,0.00018170057749180695,1.0,2.313905999471899
110.0,3.6300000000000003,0.08294719172563508,0.4359745102286311,0.7533086503390243,0.9901548092999937,0.2880055411370328,0.5319057434353164,0.5470251635417871,0.4920251635417871,0.019155330194681693,0.04184540851786929,0.06026486221043552,0.1778827008055005,13.0,3.25,1.9242300427887818e-05,3.507588237635252e-05,1.0,2.078616998915095
120.0,3.96,0.08278570400751487,0.43858539823301396,0.7575272745262688,0.9901329927904737,0.28772504932229115,0.5244732148730524,0.54768889186836,0.49268889186836,0.014517225824566929,0.031489852589443326,0.06026486221043552,0.1778827008055005,13.0,3.25,1.8092189187700068e-05,3.4697158026385444e-05,1.0,2.3420260004058946
130.0,4.29,0.08269016063840302,0.4453661121009548,0.7579375802688267,0.9907027910004632,0.2875589689757616,0.5190515187387061,0.5479940951587996,0.4929940951587996,0.011774846513886874,0.02476652456710194,0.06077235757367422,0.1778827008055005,13.0,3.25,1.31070334721536e-05,3.585424289089048e-05,1.0,2.297586997883627
140.0,4.62,0.08263109031801683,0.43970256948124675,0.7579614935055929,0.9899875424961251,0.2874562407011141,0.5151006670374065,0.547999115063166,0.492999115063166,0.008931146959519872,0.018682214346230575,0.06077235757367422,0.1778827008055005,13.0,3.25,4.649303770982318e-05,0.00013914063528338555,1.0,2.51961599860806
150.0,4.95,0.08259704045551738,0.43959441977656294,0.7565939562516879,0.9894041133923437,0.28739700843174654,0.512751707785381,0.54770031707963,0.49270031707962997,0.006757765161442188,0.01408168594925719,0.06077235757367422,0.1778827008055005,13.0,3.25,3.081065532971961e-06,6.536455350251891e-06,1.0,2.193956999690272
160.0,5.28,0.08257751769689615,0.4414030150880772,0.7577900765317713,0.9891313420229509,0.28736304163356874,0.5114943986728567,0.5473275753884277,0.4923275753884277,0.0051046408032949225,0.010608327876522619,0.06077235757367422,0.1778827008055005,13.0,3.25,1.422168801406337e-05,3.337316283477942e-05,1.0,2.3494359993492253
170.0,5.61,0.08256439305329372,0.4420495221822545,0.7569496217699092,0.9891313420229509,0.2873402043802672,0.5103318639549135,0.5468909865655694,0.49189098656556945,0.004283058001415343,0.009022767710747105,0.06130973542486515,0.1778827008055005,13.0,3.25,3.4964667816039684e-06,5.402461409060258e-06,1.0,2.5934160003089346
180.0,5.94,0.08255666148219375,0.4417114188467486,0.7573779433257501,0.9885730477617283,0.2873267503769772,0.5096558176400627,0.5465398250973927,0.49153982509739275,0.0032427427308736882,0.00693059052556873,0.06130973542486515,0.1778827008055005,13.0,3.25,8.124386466448808e-06,1.1461657994463941e-05,1.0,2.2175769991008565
190.0,6.2700000000000005,0.08255205393680207,0.4420799799810515,0.7571043992904168,0.9885730477617283,0.28731873231100347,0.5093844522907218,0.54625460182591,0.49125460182591,0.0028596292502098978,0.005289792005406659,0.06130973542486515,0.1778827008055005,13.0,3.25,8.311072922057738e-06,1.4082199937765017e-05,1.0,2.3054369994497392
200.0,6.6000000000000005,0.08254859448508212,0.4451662314717132,0.7574258391345118,0.9875613799741008,0.2873127120144219,0.5097899544101596,0.5458741573977011,0.49087415739770107,0.0021678034883116344,0.004019908711308977,0.06130973542486515,0.1778827008055005,13.0,3.25,7.608538841729543e-06,1.2278008880410188e-05,1.0,2.2177669998200145
210.0,6.930000000000001,0.08254658965082973,0.4442313332140274,0.7574258391345118,0.9872853024329227,0.2873092230521494,0.5104736699519347,0.5455149067294625,0.49051490672946246,0.001639654565288649,0.0030457138540666835,0.06130973542486515,0.1778827008055005,13.0,3.25,5.534616344642222e-06,9.331304190316381e-06,1.0,2.3739770003885496
220.0,7.260000000000001,0.08254543591618352,0.445796105797609,0.7574258391345118,0.9872853024329227,0.2873072152177587,0.511289535436283,0.5451998432497271,0.49019984324972715,0.0012382325279534933,0.0023027944766447245,0.06130973542486515,0.1778827008055005,13.0,3.25,3.586138348995628e-06,6.2703332476206294e-06,1.0,2.7911659999517724
230.0,7.590000000000001,0.0825447752130221,0.4451244449735863,0.7574258391345118,0.9872853024329227,0.28730606539546305,0.5121439639160413,0.54493553511589,0.48993553511589,0.0009340581587278637,0.00173855265877961,0.06130973542486515,0.1778827008055005,13.0,3.25,2.327501182177081e-06,4.218322456573637e-06,1.0,2.196538000134751
240.0,7.92,0.08254439815001029,0.4451244449735863,0.7574258391345118,0.9866202615596333,0.28730540919030795,0.5129797719126541,0.5447201302600204,0.4897201302600204,0.0007040621232203715,0.0013112263930175506,0.06130973542486515,0.1778827008055005,13.0,3.25,1.9212012013804808e-06,3.5569018278289646e-06,1.0,2.2543069972016383
250.0,8.25,0.08254418347510871,0.4451244449735863,0.7585549474109433,0.9866202615596333,0.28730503558954323,0.513764246395594,0.5445480155579037,0.48954801555790367,0.0005304095871788344,0.0009882244798735873,0.06130973542486515,0.1778827008055005,13.0,3.25,1.8072699525447895e-08,3.369349228151298e-08,1.0,2.502997002011398
260.0,8.58,0.08254406145928125,0.4451244449735863,0.7585549474109433,0.9866202615596333,0.2873048232440264,0.5144808111506898,0.5444124074131025,0.4894124074131025,0.0003994322596081026,0.0007444107275304894,0.06130973542486515,0.1778827008055005,13.0,3.25,2.2201634786895406e-08,4.026025866649024e-08,1.0,2.535936997446697
270.0,8.91,0.08254399219324601,0.4451244449735863,0.7585549474109433,0.9866202615596333,0.2873047026994964,0.5151230831125766,0.544306664276885,0.489306664276885,0.00030071756143783024,0.0005605525943717716,0.06130973542486515,0.1778827008055005,13.0,3.25,2.4886001132089387e-08,4.462557290758283e-08,1.0,2.355856999201933
280.0,9.24,0.08254395127899072,0.4451244449735863,0.759382981831433,0.9866202615596333,0.28730463149589275,0.51569091423165,0.5442248364444116,0.48922483644441156,0.0008629069750115753,0.0038556858621564176,0.061861045520764615,0.1778827008055005,13.0,3.25,2.619735861778454e-06,4.696586166135496e-06,1.0,2.234587002021726
290.0,9.57,0.08254341668432143,0.4451244449735863,0.759382981831433,0.9863477722191063,0.287303701132306,0.5109619211340467,0.5439726618474487,0.48897266184744875,0.0006775270007147581,0.0029523648864465475,0.061861045520764615,0.1778827008055005,13.0,3.25,1.4454436609840926e-06,3.0950756360476765e-06,1.0,2.2540270001627505
300.0,9.9,0.08254306570884078,0.4451244449735863,0.7590961126540202,0.9863477722191063,0.287303090322469,0.5086503583320229,0.5438307566898342,0.48883075668983417,0.0005249646441804903,0.002248584924484248,0.061861045520764615,0.1778827008055005,13.0,3.25,2.389033166422475e-06,4.8899783407945825e-06,1.0,2.4251069989986718
310.0,10.23,0.082542845462727,0.4451244449735863,0.7590961126540202,0.9863477722191063,0.2873027070229708,0.5078224121951883,0.5437766312338954,0.4887766312338954,0.0004030874876439741,0.0017062812430868525,0.061861045520764615,0.1778827008055005,13.0,3.25,3.3576344747676234e-06,6.805520262517384e-06,1.0,2.1795969987579156
320.0,10.56,0.08254271156436875,0.4451244449735863,0.7590961126540202,0.9863477722191063,0.28730247399625497,0.5078712975426972,0.5437774414262775,0.4887774414262775,0.00030759386197699347,0.0012914788846024746,0.061861045520764615,0.1778827008055005,13.0,3.25,3.95804665235274e-06,8.043265491785526e-06,1.0,2.3055870005919132
330.0,10.89,0.08254263191356408,0.4451244449735863,0.7590961126540202,0.9863477722191063,0.2873023353778456,0.5084091398306956,0.5438069664799445,0.48880696647994454,0.00023372347845906552,0.0009757761511704154,0.061861045520764615,0.1778827008055005,13.0,3.25,2.5432691331549677e-06,5.493680898008187e-06,1.0,2.1678170014638454
340.0,11.22,0.08254258524542159,0.4444247416577224,0.7590961126540202,0.9863477722191063,0.2873022541600076,0.5091926415247865,0.5438481001088273,0.48884810010882734,0.00017708009535902255,0.0007363513365908865,0.061861045520764615,0.1778827008055005,13.0,3.25,4.34932901019336e-08,8.176895727337532e-08,1.0,2.4076259978755843
350.0,11.55,0.08254255817803605,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873022070538896,0.5100724951836492,0.5438910239875911,0.48889102398759116,0.0001338751534023905,0.000555160470629022,0.061861045520764615,0.1778827008055005,13.0,3.25,4.581230584960645e-08,8.693137727726864e-08,1.0,2.290077001816826
360.0,11.88,0.08254254259558719,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730217993532037,0.5109601734947777,0.5439307494358624,0.4889307494358624,0.00010106653101187935,0.0004182991779199508,0.061861045520764615,0.1778827008055005,13.0,3.25,4.455385133597384e-08,8.71220002274243e-08,1.0,2.3511470026278403
370.0,12.21,0.08254253366990273,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021644017022,0.5118056715692422,0.5439652020901182,0.48896520209011823,7.622174265230764e-05,0.0003150426785306139,0.061861045520764615,0.1778827008055005,13.0,3.25,4.063420152690085e-08,7.947439569465342e-08,1.0,2.3052770011418033
380.0,12.540000000000001,0.08254252857517498,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021555352048,0.5125832113257256,0.5439939124119502,0.48899391241195017,5.744402362162953e-05,0.00023720344192339874,0.061861045520764615,0.1778827008055005,13.0,3.25,3.743679819310275e-08,7.295129052920088e-08,1.0,3.2312160001310986
390.0,12.870000000000001,0.0825425256742862,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021504867066,0.5132819016090646,0.5440172143780021,0.4890172143780021,4.327095549487139e-05,0.00017855855746993306,0.061861045520764615,0.1778827008055005,13.0,3.25,3.5143195469119766e-08,6.748162546219479e-08,1.0,2.2277179996308405
400.0,13.200000000000001,0.0825425240253991,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214761710204,0.5138997434090002,0.544035783902356,0.48903578390235597,3.258349913921329e-05,0.0001343927322994236,0.061861045520764615,0.1778827008055005,13.0,3.25,3.365211484180172e-08,6.29312671339157e-08,1.0,2.263187001517508
410.0,13.530000000000001,0.08254252308929562,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021459879749,0.5144398199860604,0.5440503891636959,0.48905038916369586,2.4529772124070933e-05,0.00010114061712624931,0.061861045520764615,0.1778827008055005,13.0,3.25,3.253501272434063e-08,5.9169850046401634e-08,1.0,2.386166997894179
420.0,13.860000000000001,0.08254252255830538,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214506387763,0.5149079047852896,0.5440617660564744,0.4890617660564744,1.8463564690769855e-05,7.611035096753524e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,3.1653539956100584e-08,5.607019883391901e-08,1.0,2.4996669999381993
430.0,14.190000000000001,0.08254252225728977,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021445400117,0.5153109841394441,0.5440705641512855,0.4890705641512855,1.3895886367969483e-05,5.7271663941513565e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,3.09091060744596e-08,5.349708384454569e-08,1.0,2.396236999629764
440.0,14.520000000000001,0.08254252208671738,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214424315975,0.5156563667484885,0.5440773304251636,0.4890773304251636,1.0457348165174928e-05,4.30943861416541e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,3.027867444924736e-08,5.1359828581952024e-08,1.0,2.455637000821298
450.0,14.850000000000001,0.08254252199009002,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214407499644,0.5159511668775818,0.5440825118599404,0.4890825118599404,7.869242961614969e-06,3.242584965835516e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,2.9744941179880122e-08,4.9933750326739004e-08,1.0,2.4436069979856256
460.0,15.180000000000001,0.08254252193536296,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021439797534,0.5162020233215852,0.5440864663805302,0.48908646638053016,5.921459935999645e-06,2.439806742480261e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,2.9293488836391682e-08,4.917908866620029e-08,1.0,2.2812869974586647
470.0,15.510000000000002,0.08254252190437156,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021439258182,0.5164149650837109,0.5440894765139057,0.4890894765139057,4.455694533985429e-06,1.8357588649251366e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,2.8938470043072904e-08,4.85892175420037e-08,1.0,2.296907001436921
480.0,15.84,0.08254252188682318,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214389527825,0.516595366462042,0.544091762948969,0.489091762948969,3.3527240618556685e-06,1.3812560135772564e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,2.864992660536792e-08,4.811146094389588e-08,1.0,2.324047000001883
490.0,16.17,0.08254252187688733,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214387798664,0.5167479549031279,0.5440934967281863,0.4890934967281863,2.522785080772714e-06,1.0392809106155239e-05,0.061861045520764615,0.1778827008055005,13.0,3.25,2.840761881191077e-08,4.7710556654803426e-08,1.0,2.434216999972705
500.0,16.5,0.0825425218712619,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438681965,0.5168768483150473,0.5440948096285633,0.4890948096285633,1.898308092990898e-06,7.8197651354171e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.8204132954745033e-08,4.737415125652153e-08,1.0,2.4495170000591315
510.0,16.830000000000002,0.08254252186807705,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214386265385,0.5169856072128107,0.5440958027089157,0.4890958027089157,1.428437419968232e-06,5.883805350264294e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.8033246477274097e-08,4.7091862265767994e-08,1.0,2.2906369995325804
520.0,17.16,0.08254252186627391,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438595158,0.5170772926613827,0.5440965531912925,0.48909655319129247,1.0749007820548726e-06,4.4271964287930565e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.788973637546613e-08,4.685497374230891e-08,1.0,2.2481070009234827
530.0,17.490000000000002,0.08254252186525307,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438577392,0.5171545246284653,0.5440971199149931,0.4890971199149931,8.088977912095879e-07,3.331253614227629e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.7769218305719054e-08,4.665617369397861e-08,1.0,2.301017000718275
540.0,17.82,0.08254252186467509,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438567333,0.5172195376539728,0.5440975476103753,0.4890975476103753,6.087568642869677e-07,2.5066757474927422e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.766801157117035e-08,4.6489330101722846e-08,1.0,2.2457970007963013
550.0,18.150000000000002,0.08254252186434789,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214385616387,0.5172742321621389,0.5440978702195898,0.4890978702195898,4.581712407956897e-07,1.886271583105676e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.7583026175114584e-08,4.634930112298187e-08,1.0,2.4086769990390167
560.0,18.48,0.08254252186416258,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438558414,0.5173202207214498,0.5440981134602094,0.4890981134602094,3.4487121790924843e-07,1.4194861714990088e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.7511667608690503e-08,4.623177543675128e-08,1.0,2.483167001628317
570.0,18.810000000000002,0.08254252186405767,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214385565883,0.5173588691141602,0.5440982967945325,0.4890982967945325,2.596248568034673e-07,1.068282056953877e-06,0.061861045520764615,0.1778827008055005,13.0,3.25,2.7451757137994795e-08,4.613313738607512e-08,1.0,2.5213860026269685
580.0,19.14,0.0825425218639983,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.28730214385555547,0.5173913323776715,0.5440984349364475,0.4890984349364475,1.9548596887244843e-07,8.040400717974124e-07,0.061861045520764615,0.1778827008055005,13.0,3.25,2.740146527961635e-08,4.605035444083431e-08,1.0,2.3259670015249867
590.0,19.470000000000002,0.08254252186396463,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438554969,0.5174185860814324,0.5440985390008882,0.48909853900088823,1.4722822670670614e-07,6.052273919058973e-07,0.061861045520764615,0.1778827008055005,13.0,3.25,2.735925585680918e-08,4.598088383273051e-08,1.0,2.3836760010453872
600.0,19.8,0.08254252186394558,0.4462303180366216,0.7590961126540202,0.9863477722191063,0.2873021438554637,0.5174414534495141,0.5440986173784845,0.48909861737848453,1.1091935258327755e-07,4.556429386771008e-07,0.061861045520764615,0.1778827008055005,13.0,3.25,2.7323838033918404e-08,4.592259139043772e-08,1.0,2.4372670013690367
